Viserys Plumm
Melissa Blackwood
Larys Strong
Nettles
Baela Targaryen
Daella Targaryen (daughter of Maekar I)
Daena Targaryen
Naerys Targaryen
Rhaena Targaryen (daughter of Aegon III)
Grazdan mo Ullhor
Lyonel Strong
Medger Cerwyn
Saera Targaryen
Barba Bracken
Shiera Seastar
Rhae Targaryen
Rhaegar Targaryen
Rohanne Webber
Aegon Targaryen (son of Jaehaerys I)
Glendon Flowers
Rhaegel Targaryen
Ambrose Butterwell
Stiv
Uthor Underleaf
Baelor Targaryen (son of Daeron II)
Jeyne Waters
Rhaenys Targaryen
Falena Stokeworth
Vargo Hoat
Laena Velaryon
Aegon III Targaryen
Aegon Targaryen (son of Rhaegar)
Aerion Targaryen
Aemon Blackfyre
Grazdan zo Galare
Rhaena Targaryen (daughter of Daemon)
Corlys Velaryon
Daenerys Targaryen (daughter of Aegon IV)
